link_facebook,Content,Date,Suicide
https://www.facebook.com/dangbuiit1,"Hello Hallo Hola
According to Edgar H. Schein, corporate culture can be divided into three different levels:
Level 1 - Visible Artifacts: Easy external observation factors such as appearance, symbols, symbols, languages, products, tangible culture such as architecture, design, fashion and manifestationsdifferent people can see and experience.
Level 2 - Esposeded Values: values, thinking, principles that organize publicity and share.These are the factors behind the acts and decisions of the organization and express the thinking, knowledge and views of people in the organization.
Level 3 - Basic Assumptions: These are beliefs, assumptions on how the world works, the way the organization should operate and interact.This is often not aware of the people in the organization that often exists in the unconscious form.
These levels interact with each other to create organizational culture and affect the organization of activities and interactions in the environment.",9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,They are so difficult this year,9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,"""There are 3 points 10, thinking about the computer science of the Polytechnic"", quoting 1 Assoc.
Until now, Hust has officially done it
.
Please bring the opponent here, guys",9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,Go home to eat fabric !!,9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,"Where is the origin of lychee?
Experience directly picking litchi in the garden.",9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,"King Le returned the sword to declare the country
Turtle Tower towering for hundreds of years
Lightly night dew on the hair
Remember that I used to !!",9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,"West Lake Long Bong
The vast water waves remember the silhouette of whom!",9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,Wish you a happy birthday,9/15/2023 22:39,0
https://www.facebook.com/dangbuiit1,Happy Birthday,9/15/2023 22:39,0
https://www.facebook.com/profile.php?id=100012881801899,"BK Ecogreen
Round 1: Day journey day
https://bit.ly/bkeCogreen3rd
#Hsvbkhn #BKECOGREEN3RD #Begreenbenatural",9/15/2023 22:39,0
https://www.facebook.com/profile.php?id=100012881801899,!!!,9/15/2023 22:39,0
https://www.facebook.com/profile.php?id=100012881801899,"""Polytechnic - Creative and Dedication"" - 3rd team
The final exam, fighting!
 Students can only take 1 team exam, the test of the exams is completely different
 How to join:
     Step 1: Share post
     Step 2: Participate in the exam
 Form of examination: Online on MS Forms platform
 Link test: https: //forms.office.com/r/mdgthrbt4x
 Test time: 30 minutes (21:00-21h30) November 17, 2021
 Target subjects: All regular students of Hanoi University of Technology.
Students participate by logging in to the email account issued by the school and each candidate is only allowed to take the exam once.
Take all the steps and tests correctly from 70% of the total number of questions or more will be confirmed to participate in activities 2 criteria:
+ ""Participating in cultural activities (cultural movements, SVBK exams, ... of the Institute, School)""
+ ""There is a positive action on the cyberspace (online activity) in accordance with the policy of the school and the State recorded by the collective""
Activity link: https://tinyurl.com/ymeb5meh
Take all the steps and tests correctly from 50% of the total number of questions that will be confirmed to participate in the criteria: “Having active actions on the cyberspace (online activity) in accordance with the policy ofThe school and the state are recorded by the collective ”
Activity link: https: //tinyurl.com/2jjb57ab
Students do not need to upload proof, BTC will notify on the page and corporate activity for you.
Wish you all good exams
---------------------------------------------------------
Link event contest: https://tinyurl.com/bkstvch
The contest rules view at: https://tinyurl.com/bkstvch-thele
Any questions please inbox for the page.",9/15/2023 22:39,0
